thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
         1,         1,      2000,   4000000,    5.2909,   6.04812,   2.45447,   6.51872,   45568.9,   6681.03,  0.146614,  0.146589
         2,         4,      2000,   4000000,   5.29132,   6.04764,   2.45209,   6.52504,   7368.05,   6680.92,  0.906742,   0.90579
         3,         9,      2000,   4000000,   5.28839,   6.05099,   2.45335,   6.52169,   2488.13,   6683.03,   2.68596,   2.67763
         4,        16,      2000,   4000000,   5.29355,   6.04509,   2.45154,   6.52652,   1175.68,   6685.99,   5.68691,   5.64969
         5,        25,      2000,   4000000,   5.29558,   6.04277,   2.45405,   6.51983,   673.051,   6680.73,   9.92604,   9.81305
         6,        36,      2000,   4000000,   5.28874,   6.05059,   2.43833,   6.56185,   495.603,   6688.86,   13.4964,   13.2892
         7,        49,      2000,   4000000,   5.29258,    6.0462,   2.45628,   6.51391,     343.1,   6703.74,   19.5387,   19.1072
         8,        64,      2000,   4000000,    5.2923,   6.04652,   2.43491,   6.57108,   247.128,   6699.14,    27.108,   26.2861
         9,        81,      2000,   4000000,   5.28895,   6.05035,   2.43729,   6.56467,    277.02,   6698.79,   24.1816,   23.5255
        10,       100,      2000,   4000000,   5.28972,   6.04947,   2.43666,   6.56637,   284.423,   6696.32,   23.5435,   22.9209
        11,       121,      2000,   4000000,   5.29328,    6.0454,   2.43715,   6.56505,   234.536,    6689.1,   28.5206,   27.6106
        12,       144,      2000,   4000000,   5.29049,   6.04859,   2.45195,   6.52541,    239.93,   6697.69,   27.9152,   27.0426
        13,       169,      2000,   4000000,   5.28846,   6.05091,   2.43589,   6.56844,   241.332,   6680.54,   27.6819,   26.8234
        14,       196,      2000,   4000000,   5.29195,   6.04691,   2.43652,   6.56675,   242.168,   6695.24,   27.6471,    26.792
        15,       225,      2000,   4000000,   5.29747,   6.04062,   2.43617,   6.56769,   241.221,   6683.98,    27.709,   26.8482
        16,       256,      2000,   4000000,   5.28958,   6.04963,   2.43408,   6.57333,   207.449,   6680.75,   32.2043,   31.0483
        17,       289,      2000,   4000000,   5.29021,   6.04891,   2.55029,    6.2738,   233.335,   6693.02,   28.6842,   27.7517
        18,       324,      2000,   4000000,   5.29042,   6.04867,   2.43554,   6.56939,   230.802,   6694.93,   29.0073,   28.0677
        19,       361,      2000,   4000000,   5.29091,   6.04811,   2.43722,   6.56486,   223.911,   6692.16,   29.8875,   28.8904
        20,       400,      2000,   4000000,   5.28043,   6.06012,   2.44888,   6.53359,   218.344,   6686.76,    30.625,   29.5779
        21,       441,      2000,   4000000,   5.28957,   6.04964,   2.43443,   6.57239,   215.921,   6694.46,   31.0043,   29.9335
        22,       484,      2000,   4000000,   5.28995,   6.04921,   2.43505,    6.5707,   218.737,   6713.83,   30.6936,   29.6466
        23,       529,      2000,   4000000,   5.29424,    6.0443,   2.43581,   6.56864,   217.731,   6692.19,   30.7361,   29.6823
        24,       576,      2000,   4000000,   5.28839,   6.05099,   2.43631,   6.56731,   213.211,   6709.38,   31.4682,    30.368
        25,       625,      2000,   4000000,   5.29222,   6.04661,   2.43603,   6.56805,   214.433,   6696.91,   31.2307,   30.1443
        26,       676,      2000,   4000000,   5.29425,   6.04429,   2.43638,   6.56713,    217.52,   6694.71,   30.7775,   29.7212
        27,       729,      2000,   4000000,   5.29328,   6.04541,   2.43554,   6.56938,    217.81,   6693.19,   30.7295,   29.6764
        28,       784,      2000,   4000000,   5.29286,   6.04588,   2.43645,   6.56693,   235.993,   6696.42,   28.3755,   27.4756
        29,       841,      2000,   4000000,   5.30201,   6.03545,   2.44804,   6.53583,   228.317,   6695.27,   29.3245,   28.3618
        30,       900,      2000,   4000000,   5.28859,   6.05076,   2.43764,   6.56373,   227.471,   6691.59,   29.4173,    28.451
        31,       961,      2000,   4000000,    5.2842,   6.05579,   2.43631,    6.5673,   226.515,   6690.01,   29.5345,    28.561
        32,      1024,      2000,   4000000,   5.29132,   6.04764,   2.43617,   6.56769,   213.707,    6688.8,   31.2989,   30.2066
